timestamp;meter;pv;sum
1;-8;0;-8
2;-16;0;-16
3;-24;0;-24
4;-37;0;-37
5;-35;0;-35
6;-48;0;-48
7;-56;0;-56
8;-60;0;-60
9;-84;0;-84
10;-93;0;-93
11;-88;0;-88
12;-84;0;-84
13;-91;0;-91
14;-121;0;-121
15;-112;0;-112
16;-150;0;-150
17;-159;0;-159
18;-144;0;-144
19;-152;0;-152
20;-173;0;-173
21;-157;0;-157
22;-176;0;-176
23;-184;0;-184
24;-180;0;-180
25;-200;0;-200
26;-225;0;-225
27;-189;0;-189
28;-262;0;-262
29;-250;0;-250
30;-259;0;-259
31;-217;0;-217
32;-240;0;-240
33;-309;0;-309
34;-273;0;-273
35;-328;0;-328
36;-289;0;-289
37;-277;0;-277
38;-305;0;-305
39;-365;0;-365
40;-300;0;-300
41;-384;0;-384
42;-337;0;-337
43;-345;0;-345
44;-309;0;-309
45;-337;0;-337
46;-398;0;-398
47;-440;0;-440
48;-450;0;-450
49;-367;0;-367
50;-351;0;-351
51;-409;0;-409
52;-389;0;-389
53;-372;0;-372
54;-433;0;-433
55;-515;0;-515
56;-420;0;-420
57;-400;0;-400
58;-435;0;-435
59;-442;0;-442
60;-562;0;-562
61;-457;0;-457
62;-498;0;-498
63;-442;0;-442
64;-600;0;-600
65;-562;0;-562
66;-494;0;-494
67;-579;0;-579
68;-478;0;-478
69;-517;0;-517
70;-525;0;-525
71;-532;0;-532
72;-506;0;-506
73;-684;0;-684
74;-555;0;-555
75;-562;0;-562
76;-534;0;-534
77;-577;0;-577
78;-548;0;-548
79;-592;0;-592
80;-642;0;-642
81;-650;0;-650
82;-615;0;-615
83;-622;0;-622
84;-675;0;-675
85;-735;0;-735
86;-691;0;-691
87;-815;0;-815
88;-761;0;-761
89;-715;0;-715
90;-843;0;-843
91;-682;0;-682
92;-690;0;-690
93;-747;0;-747
94;-660;0;-660
95;-890;0;-890
96;-771;0;-771
97;-727;0;-727
98;-734;0;-734
99;-928;0;-928
100;-803;0;-803
101;-757;0;-757
102;-956;0;-956
103;-772;0;-772
104;-835;0;-835
105;-908;0;-908
106;-795;0;-795
107;-1003;0;-1003
108;-934;0;-934
109;-943;0;-943
110;-825;0;-825
111;-780;0;-780
112;-787;0;-787
113;-908;0;-908
114;-1068;0;-1068
115;-1078;0;-1078
116;-1087;0;-1087
117;-877;0;-877
118;-829;0;-829
119;-956;0;-956
120;-900;0;-900
121;-907;0;-907
122;-1055;0;-1055
123;-864;0;-864
124;-1162;0;-1162
125;-878;0;-878
126;-885;0;-885
127;-892;0;-892
128;-1028;0;-1028
129;-1116;0;-1116
130;-975;0;-975
131;-921;0;-921
132;-1237;0;-1237
133;-935;0;-935
134;-1256;0;-1256
135;-949;0;-949
136;-956;0;-956
137;-1284;0;-1284
138;-1108;0;-1108
139;-977;0;-977
140;-1211;0;-1211
141;-1057;0;-1057
142;-1141;0;-1141
143;-1072;0;-1072
144;-1157;0;-1157
145;-1359;0;-1359
146;-1173;0;-1173
147;-1033;0;-1033
148;-1110;0;-1110
149;-1289;0;-1289
150;-1125;0;-1125
151;-1306;0;-1306
152;-1425;0;-1425
153;-1075;0;-1075
154;-1155;0;-1155
155;-1089;0;-1089
156;-1096;0;-1096
157;-1261;0;-1261
158;-1367;0;-1367
159;-1192;0;-1192
160;-1125;0;-1125
161;-1393;0;-1393
162;-1518;0;-1518
163;-1222;0;-1222
164;-1317;0;-1317
165;-1237;0;-1237
166;-1333;0;-1333
167;-1174;0;-1174
168;-1181;0;-1181
169;-1188;0;-1188
170;-1366;0;-1366
171;-1374;0;-1374
172;-1290;0;-1290
173;-1216;0;-1216
174;-1631;0;-1631
175;-1230;0;-1230
176;-1320;0;-1320
177;-1659;0;-1659
178;-1251;0;-1251
179;-1549;0;-1549
180;-1687;0;-1687
181;-1566;0;-1566
182;-1706;0;-1706
183;-1372;0;-1372
184;-1380;0;-1380
185;-1600;0;-1600
186;-1743;0;-1743
187;-1753;0;-1753
188;-1410;0;-1410
189;-1771;0;-1771
190;-1425;0;-1425
191;-1790;0;-1790
192;-1350;0;-1350
193;-1357;0;-1357
194;-1818;0;-1818
195;-1566;0;-1566
196;-1574;0;-1574
197;-1846;0;-1846
198;-1713;0;-1713
199;-1865;0;-1865
200;-1500;0;-1500
201;-1739;0;-1739
202;-1893;0;-1893
203;-1903;0;-1903
204;-1912;0;-1912
205;-1441;0;-1441
206;-1782;0;-1782
207;-1940;0;-1940
208;-1462;0;-1462
209;-1567;0;-1567
210;-1476;0;-1476
211;-1978;0;-1978
212;-1834;0;-1834
213;-1597;0;-1597
214;-2006;0;-2006
215;-1612;0;-1612
216;-1518;0;-1518
217;-2034;0;-2034
218;-1532;0;-1532
219;-1539;0;-1539
220;-1650;0;-1650
221;-1912;0;-1912
222;-1560;0;-1560
223;-2090;0;-2090
224;-2100;0;-2100
225;-1582;0;-1582
226;-1589;0;-1589
227;-1596;0;-1596
228;-2137;0;-2137
229;-1717;0;-1717
230;-1724;0;-1724
231;-1732;0;-1732
232;-2175;0;-2175
233;-1872;0;-1872
234;-1755;0;-1755
235;-1888;0;-1888
236;-2042;0;-2042
237;-2221;0;-2221
238;-2059;0;-2059
239;-1680;0;-1680
240;-2076;0;-2076
241;-1936;0;-1936
242;-2268;0;-2268
243;-2278;0;-2278
244;-1830;0;-1830
245;-1722;0;-1722
246;-1729;0;-1729
247;-1984;0;-1984
248;-1860;0;-1860
249;-1750;0;-1750
250;-2343;0;-2343
251;-1882;0;-1882
252;-2024;0;-2024
253;-1778;0;-1778
254;-2381;0;-2381
255;-1792;0;-1792
256;-2215;0;-2215
257;-2409;0;-2409
258;-1935;0;-1935
259;-2081;0;-2081
260;-2250;0;-2250
261;-2097;0;-2097
262;-2105;0;-2105
263;-1972;0;-1972
